证券代码,证券简称,公司全称,上市日期
600307,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司,2000-12-20
600308,华泰股份,山东华泰纸业股份有限公司,2000-09-28
600309,万华化学,万华化学集团股份有限公司,2001-01-05
600310,桂东电力,广西能源股份有限公司,2001-02-28
600312,平高电气,河南平高电气股份有限公司,2001-02-21
600313,农发种业,中农发种业集团股份有限公司,2001-01-19
600315,上海家化,上海家化联合股份有限公司,2001-03-15
600316,洪都航空,江西洪都航空工业股份有限公司,2000-12-15
600318,新力金融,安徽新力金融股份有限公司,2000-12-08
600319,亚星化学,潍坊亚星化学股份有限公司,2001-03-26
600320,振华重工,上海振华重工(集团)股份有限公司,2000-12-21
600321,正源股份,正源控股股份有限公司,2001-05-24
600322,天房发展,天津市房地产发展(集团)股份有限公司,2001-09-10
600323,瀚蓝环境,瀚蓝环境股份有限公司,2000-12-25
600325,华发股份,珠海华发实业股份有限公司,2004-02-25
600326,西藏天路,西藏天路股份有限公司,2001-01-16
600327,大东方,无锡商业大厦大东方股份有限公司,2002-06-25
600328,中盐化工,中盐内蒙古化工股份有限公司,2000-12-22
600329,达仁堂,津药达仁堂集团股份有限公司,2001-06-06
600330,天通股份,天通控股股份有限公司,2001-01-18
600331,宏达股份,四川宏达股份有限公司,2001-12-20
600332,白云山,广州白云山医药集团股份有限公司,2001-02-06
600333,长春燃气,长春燃气股份有限公司,2000-12-11
600335,国机汽车,国机汽车股份有限公司,2001-03-05
600336,澳柯玛,澳柯玛股份有限公司,2000-12-29
600337,美克家居,美克国际家居用品股份有限公司,2000-11-27
600338,西藏珠峰,西藏珠峰资源股份有限公司,2000-12-27
600339,中油工程,中国石油集团工程股份有限公司,2000-12-25
600340,华夏幸福,华夏幸福基业股份有限公司,2003-12-30
600343,航天动力,陕西航天动力高科技股份有限公司,2003-04-08
600345,长江通信,武汉长江通信产业集团股份有限公司,2000-12-22
600346,恒力石化,恒力石化股份有限公司,2001-08-20
600348,华阳股份,山西华阳集团新能股份有限公司,2003-08-21
600350,山东高速,山东高速股份有限公司,2002-03-18
600351,亚宝药业,亚宝药业集团股份有限公司,2002-09-26
600352,浙江龙盛,浙江龙盛集团股份有限公司,2003-08-01
600353,旭光电子,成都旭光电子股份有限公司,2002-11-20
600354,敦煌种业,甘肃省敦煌种业集团股份有限公司,2004-01-15
600355,精伦电子,精伦电子股份有限公司,2002-06-13
600356,恒丰纸业,牡丹江恒丰纸业股份有限公司,2001-04-19
600358,国旅联合,国旅文化投资集团股份有限公司,2000-09-22
600359,新农开发,新疆塔里木农业综合开发股份有限公司,1999-04-29
600360,华微电子,吉林华微电子股份有限公司,2001-03-16
600361,创新新材,创新新材料科技股份有限公司,2001-11-29
600362,江西铜业,江西铜业股份有限公司,2002-01-11
600363,XD联创光,江西联创光电科技股份有限公司,2001-03-29
600365,ST通葡,通化葡萄酒股份有限公司,2001-01-15
600366,宁波韵升,宁波韵升股份有限公司,2000-10-30
600367,红星发展,贵州红星发展股份有限公司,2001-03-20
600368,五洲交通,广西五洲交通股份有限公司,2000-12-21
600369,西南证券,西南证券股份有限公司,2001-01-09
600370,三房巷,江苏三房巷聚材股份有限公司,2003-03-06
600371,万向德农,万向德农股份有限公司,2002-09-16
600372,中航电子,中航航空电子系统股份有限公司,2001-07-06
600373,中文传媒,中文天地出版传媒集团股份有限公司,2002-03-04
600375,汉马科技,汉马科技集团股份有限公司,2003-04-01
600376,首开股份,北京首都开发股份有限公司,2001-03-12
600377,宁沪高速,江苏宁沪高速公路股份有限公司,2001-01-16
600378,昊华科技,昊华化工科技集团股份有限公司,2001-01-11
600379,宝光股份,陕西宝光真空电器股份有限公司,2002-01-16
600380,健康元,健康元药业集团股份有限公司,2001-06-08
600381,青海春天,青海春天药用资源科技股份有限公司,2001-05-08
600382,广东明珠,广东明珠集团股份有限公司,2001-01-18
600383,金地集团,金地(集团)股份有限公司,2001-04-12
600386,北巴传媒,北京巴士传媒股份有限公司,2001-02-16
600387,ST海越,海越能源集团股份有限公司,2004-02-18
600388,ST龙净,福建龙净环保股份有限公司,2000-12-29
600389,江山股份,南通江山农药化工股份有限公司,2001-01-10
600390,五矿资本,五矿资本股份有限公司,2001-01-15
600391,航发科技,中国航发航空科技股份有限公司,2001-12-12
600392,盛和资源,盛和资源控股股份有限公司,2003-05-29
600393,ST粤泰,广州粤泰集团股份有限公司,2001-03-19
600395,盘江股份,贵州盘江精煤股份有限公司,2001-05-31
600396,*ST金山,沈阳金山能源股份有限公司,2001-03-28
600397,安源煤业,安源煤业集团股份有限公司,2002-07-02
600398,海澜之家,海澜之家集团股份有限公司,2000-12-28
600399,抚顺特钢,抚顺特殊钢股份有限公司,2000-12-29
600400,红豆股份,江苏红豆实业股份有限公司,2001-01-08
600403,大有能源,河南大有能源股份有限公司,2003-10-09
600405,动力源,北京动力源科技股份有限公司,2004-04-01
600406,国电南瑞,国电南瑞科技股份有限公司,2003-10-16
600408,安泰集团,山西安泰集团股份有限公司,2003-02-12
600409,三友化工,唐山三友化工股份有限公司,2003-06-18
600410,华胜天成,北京华胜天成科技股份有限公司,2004-04-27
600415,小商品城,浙江中国小商品城集团股份有限公司,2002-05-09
600416,湘电股份,湘潭电机股份有限公司,2002-07-18
600418,江淮汽车,安徽江淮汽车集团股份有限公司,2001-08-24
600419,天润乳业,新疆天润乳业股份有限公司,2001-06-28
600420,国药现代,上海现代制药股份有限公司,2004-06-16
600421,华嵘控股,湖北华嵘控股股份有限公司,2004-06-07
600422,昆药集团,昆药集团股份有限公司,2000-12-06
600423,柳化股份,柳州化工股份有限公司,2003-07-17
600425,青松建化,新疆青松建材化工(集团)股份有限公司,2003-07-24
600426,华鲁恒升,山东华鲁恒升化工股份有限公司,2002-06-20
600428,中远海特,中远海运特种运输股份有限公司,2002-04-18
600429,三元股份,北京三元食品股份有限公司,2003-09-15
600433,冠豪高新,广东冠豪高新技术股份有限公司,2003-06-19
600435,北方导航,北方导航控制技术股份有限公司,2003-07-04
600436,片仔癀,漳州片仔癀药业股份有限公司,2003-06-16
600438,通威股份,通威股份有限公司,2004-03-02
600439,瑞贝卡,河南瑞贝卡发制品股份有限公司,2003-07-10
600444,国机通用,国机通用机械科技股份有限公司,2004-02-19
600446,金证股份,深圳市金证科技股份有限公司,2003-12-24
600448,华纺股份,华纺股份有限公司,2001-09-03
600449,宁夏建材,宁夏建材集团股份有限公司,2003-08-29
600452,涪陵电力,重庆涪陵电力实业股份有限公司,2004-03-03
600455,博通股份,西安博通资讯股份有限公司,2004-03-29
600456,宝钛股份,宝鸡钛业股份有限公司,2002-04-12
600458,XD时代新,株洲时代新材料科技股份有限公司,2002-12-19
600459,贵研铂业,贵研铂业股份有限公司,2003-05-16
600460,士兰微,杭州士兰微电子股份有限公司,2003-03-11
600461,洪城环境,江西洪城环境股份有限公司,2004-06-01
600462,ST九有,湖北九有投资股份有限公司,2003-09-03
600463,空港股份,北京空港科技园区股份有限公司,2004-03-18
600467,好当家,山东好当家海洋发展股份有限公司,2004-04-05
600468,百利电气,天津百利特精电气股份有限公司,2001-06-15
600469,风神股份,风神轮胎股份有限公司,2003-10-21
600470,六国化工,安徽六国化工股份有限公司,2004-03-05
600475,华光环能,无锡华光环保能源集团股份有限公司,2003-07-21
600476,湘邮科技,湖南湘邮科技股份有限公司,2003-12-10
600477,杭萧钢构,杭萧钢构股份有限公司,2003-11-10
600478,科力远,湖南科力远新能源股份有限公司,2003-09-18
600479,千金药业,株洲千金药业股份有限公司,2004-03-12
600480,凌云股份,凌云工业股份有限公司,2003-08-15
600481,双良节能,双良节能系统股份有限公司,2003-04-22
600482,中国动力,中国船舶重工集团动力股份有限公司,2004-07-14
600483,福能股份,福建福能股份有限公司,2004-05-31
600486,扬农化工,江苏扬农化工股份有限公司,2002-04-25
600487,亨通光电,江苏亨通光电股份有限公司,2003-08-22
600488,津药药业,津药药业股份有限公司,2001-06-18
600489,中金黄金,中金黄金股份有限公司,2003-08-14
600490,鹏欣资源,鹏欣环球资源股份有限公司,2003-06-26
600491,龙元建设,龙元建设集团股份有限公司,2004-05-24
600493,凤竹纺织,福建凤竹纺织科技股份有限公司,2004-04-21
600495,晋西车轴,晋西车轴股份有限公司,2004-05-26
600496,精工钢构,长江精工钢结构(集团)股份有限公司,2002-06-05
600497,驰宏锌锗,云南驰宏锌锗股份有限公司,2004-04-20
600498,烽火通信,烽火通信科技股份有限公司,2001-08-23
600499,科达制造,科达制造股份有限公司,2002-10-10
600500,中化国际,中化国际(控股)股份有限公司,2000-03-01
600501,航天晨光,航天晨光股份有限公司,2001-06-15
600502,安徽建工,安徽建工集团股份有限公司,2003-04-15
600503,华丽家族,华丽家族股份有限公司,2002-07-09
600505,西昌电力,四川西昌电力股份有限公司,2002-05-30
600506,统一股份,统一低碳科技(新疆)股份有限公司,2001-12-26
600507,方大特钢,方大特钢科技股份有限公司,2003-09-30
600508,上海能源,上海大屯能源股份有限公司,2001-08-29
600509,天富能源,新疆天富能源股份有限公司,2002-02-28
600510,黑牡丹,黑牡丹(集团)股份有限公司,2002-06-18
600511,国药股份,国药集团药业股份有限公司,2002-11-27
600512,腾达建设,腾达建设集团股份有限公司,2002-12-26
600513,联环药业,江苏联环药业股份有限公司,2003-03-19
600515,海南机场,海南机场设施股份有限公司,2002-08-06
600516,方大炭素,方大炭素新材料科技股份有限公司,2002-08-30
600517,国网英大,国网英大股份有限公司,2003-10-10
600518,ST康美,康美药业股份有限公司,2001-03-19
600519,贵州茅台,贵州茅台酒股份有限公司,2001-08-27
